,Kategori,Nama_Toko,Lokasi_Toko,Nama_Produk,Harga_Produk,Terjual,Rating,Tanggal
20298,Dapur,Ollahom Official Store,Tangerang,Ollahom Lemari Dapur Rak Dapur Serbaguna Lemari Piring Minimalis Rak Kabinet Rak Penyimpanan Rak Roda Rak Dapur Susun Baja Kuat Kokoh Anti Karat,899000,0,0.0,8/1/2025
20299,Dapur,Ollahom Official Store,Tangerang,Ollahom Rak Dapur Lemari Dapur Dengan Pintu Rak Penyimpanan Microwave Oven Lemari Piring Rak Serbaguna Stainless Kokoh Kuat Anti Karat,1099000,0,0.0,8/1/2025
20300,Dapur,freemir Indonesia Store,Kab. Bekasi,[XCLSV KOKOPANCI PO 20 HARI] freemir Panci Aesthetic Mini Beige Gemoy MPASI 12cm Bahan Batu Granit Cekung Wajan Anti Lengket Peralatan Aman untuk MPASI Bayi Dapur Kitchenware,129000,40,0.0,8/1/2025
20301,Dapur,PIRA,Kab. Gresik,PIRA METROPOLIS OX -  HIRO SB121 Bufet / Lemari Dapur / Kabinet Dapur / Meja TV / Sideboard / Rak Serbaguna,799000,0,0.0,8/1/2025
20302,Dapur,PIRA,Kab. Gresik,PIRA METROPOLIS OX -  HIRO SB81 Bufet / Lemari Dapur / Rak Sepatu / Lemari Sepatu / Meja TV,549000,0,0.0,8/1/2025
20303,Dapur,Toso Mart,Jakarta Pusat,Timbangan Kopi Digital Coffee Scale Rechargeable 3kg 0.1g Kitchen Electronic Scale Dengan Timer Timbangan Dapur,170000,1,0.0,8/1/2025
20304,Dapur,Kohler ID,Jakarta Barat,KOHLER July Bak Cuci Piring / Kitchen Sink Double Bowl Stainless Steel & Atom Keran / Kran Dapur / Kitchen Faucet Polished Chrome K-29789T-2ED-NA,3303360,0,0.0,8/1/2025
20305,Dapur,Kohler ID,Jakarta Barat,KOHLER Aleo Bak Cuci Piring / Kitchen Sink Single Bowl Stainless Steel & Atom Keran / Kran Dapur / Pull Down Kitchen Faucet Polished Chrome K-28409T-2HD-NA,4542120,0,0.0,8/1/2025
20306,Dapur,AKOM HOME,Kab. Tangerang,COD  Rak Dapur Rak Penyimpanan Serbaguna Dapur 6 Susun Dengan Roda Rak Dapur Serbaguna Ruang Tamu kamar mandi Sepatu Rak Gudang Rak Oven Rak Microwave,105000,0,0.0,8/1/2025
20307,Dapur,shangxinnanren,Kab. Tangerang,Wastafel dapur rak rak rak pengeringan lipat rak penyimpanan rak piring keranjang keranjang pengeringan yang dapat ditarik,65000,100,5.0,8/1/2025
20308,Dapur,JANEAH SHOP,Jakarta Utara,Rak Dapur Rak Cangkir Rak susun Serbaguna Rak Meja Rak Main rak skincare rak bumbu Minimalis Rak Kosmetik Acrylic Transparan,189900,0,0.0,8/1/2025
